keyword_id,Keyword,market,language,keyword_type,search_volumn,conversion_value,priority
KW_001,亚马逊,CN,zh,branded," 323,753 ",high,5
KW_002,amazon,CN,zh,branded," 102,516 ",high,5
KW_003,亚马逊网址,CN,zh,branded," 13,373 ",high,5
KW_004,亚马逊全球开店官网,CN,zh,branded," 12,723 ",high,5
KW_005,亚马逊卖家官网登录入口,CN,zh,branded," 5,216 ",high,5
KW_006,亚马逊美国站官网,CN,zh,branded," 2,990 ",high,5
KW_007,亚马逊开店流程,CN,zh,branded," 2,176 ",high,5
KW_008,亚马逊网站,CN,zh,branded," 1,670 ",high,5
KW_009,亚马逊德国站官网,CN,zh,branded," 1,365 ",high,5
KW_010,amazon seller,CN,zh,branded," 1,236 ",high,5
KW_011,亚马逊跨境电商平台官网,CN,zh,branded," 1,003 ",high,5
KW_012,亚马逊北美站,CN,zh,branded, 987 ,high,5
KW_013,亚马逊 美国,CN,zh,branded, 841 ,high,5
KW_014,亚马逊美国官网入口,CN,zh,branded, 686 ,high,5
KW_015,亚马逊店铺,CN,zh,branded, 631 ,high,5
KW_016,亚马逊官方网站,CN,zh,branded, 537 ,high,5
KW_017,亚马逊账号,CN,zh,branded, 514 ,high,5
KW_018,墨西哥亚马逊,CN,zh,branded, 146 ,high,5
KW_019,亚马逊入口,CN,zh,branded, 143 ,high,5
KW_020,amazon日本亚马逊,CN,zh,branded, 137 ,high,5
KW_021,亚马逊商家入驻,CN,zh,branded, 134 ,high,5
KW_022,亚马逊官网首页,CN,zh,branded, 109 ,high,5
KW_023,亚马逊官方网,CN,zh,branded, 106 ,high,5
KW_024,亚马逊中国站,CN,zh,branded, 106 ,high,5
KW_025,amazon seller center,CN,zh,branded, 81 ,high,5
KW_026,亚马逊电商官网,CN,zh,branded, 75 ,high,5
KW_027,亚马逊欧洲站官网,CN,zh,branded, 74 ,high,5
KW_028,亚马逊注册入口,CN,zh,branded, 71 ,high,5
KW_029,亚马逊欧洲站卖家登录,CN,zh,branded, 60 ,high,5
KW_030,注册亚马逊账号,CN,zh,branded, 57 ,high,5
KW_031,亚马逊商家注册,CN,zh,branded, 57 ,high,5
KW_032,亚马逊美国站网址,CN,zh,branded, 56 ,high,5
KW_033,amazon亚马逊官网网址,CN,zh,branded, 56 ,high,5
KW_034,亚马逊欧洲站注册,CN,zh,branded, 56 ,high,5
KW_035,amazon入驻,CN,zh,branded, 53 ,high,5
KW_036,亚马逊日本站开店,CN,zh,branded, 53 ,high,5
KW_037,amazon亚马逊官网登录,CN,zh,branded, 52 ,high,5
