month,region,platform,brand_queries,link_mentions,link_rate
M1,CN,元宝,297,144,48.48
M1,CN,DeepSeek,297,151,50.84
M1,CN,豆包,297,183,61.62
M1,CN,ChatGPT,297,104,35.02
M2,CN,元宝,297,156,52.53
M2,CN,DeepSeek,297,166,55.89
M2,CN,豆包,297,187,62.96
M2,CN,ChatGPT,297,126,42.42
M3,CN,元宝,297,196,65.99
M3,CN,DeepSeek,297,186,62.63
M3,CN,豆包,297,206,69.36
M3,CN,ChatGPT,297,131,44.11
M4,CN,元宝,397,243,61.21
M4,CN,DeepSeek,397,200,50.38
M4,CN,豆包,397,251,63.22
M4,CN,ChatGPT,397,158,39.80
M5,CN,元宝,465,344,73.98
M5,CN,DeepSeek,465,309,66.45
M5,CN,豆包,465,226,48.60
M5,CN,ChatGPT,465,140,30.11
M5,CN,Kimi,465,275,59.14
M5,CN,千问,465,311,66.88
M5,CN,Gemini,465,218,46.88
M6,CN,元宝,487,367,75.36
M6,CN,DeepSeek,487,325,66.74
M6,CN,豆包,487,277,56.88
M6,CN,ChatGPT,487,139,28.54
M6,CN,Kimi,487,260,53.39
M6,CN,千问,487,326,66.94
M6,CN,Gemini,487,218,44.76
