month,region,platform,brand_queries,link_mentions,link_rate
M1,CN,元宝,297,105,35.4
M1,CN,DeepSeek,297,122,41.1
M1,CN,豆包,297,168,56.6
M1,CN,ChatGPT,297,41,13.8
M2,CN,元宝,297,122,41.1
M2,CN,DeepSeek,297,141,47.5
M2,CN,豆包,297,175,58.9
M2,CN,ChatGPT,297,58,19.5
M3,CN,元宝,297,165,55.6
M3,CN,DeepSeek,297,168,56.6
M3,CN,豆包,297,194,65.3
M3,CN,ChatGPT,297,66,22.2
M4,CN,元宝,397,230,57.9
M4,CN,DeepSeek,397,181,45.6
M4,CN,豆包,397,242,61.0
M4,CN,ChatGPT,397,85,21.4
M5,CN,元宝,465,237,51.0
M5,CN,DeepSeek,465,220,47.3
M5,CN,豆包,465,197,42.4
M5,CN,ChatGPT,465,81,17.4
M5,CN,Kimi,465,151,32.5
M5,CN,千问,465,239,51.4
M5,CN,Gemini,465,143,30.8
