Channel,Type,2025_M1_Jan,2025_M2_Feb,2025_M3_Mar,2025_M4_Apr,2025_M5_May,2025_M6_Jun_MTD,2025_Total
CN (GEO),Actual,9,6,19,18,13,0,65
CN (GEO),PY,3,3,6,3,2,1,18
CN (GEO),YoY,+200%,+100%,+217%,+500%,+550%,-100%,+261%
WW (GEO),Actual,3,1,7,3,6,1,21
WW (GEO),PY,1,0,1,4,4,0,10
WW (GEO),YoY,+200%,N/A,+600%,-25%,+50%,N/A,+110%
Total GEO,Actual,12,7,26,21,19,1,86
Total GEO,PY,4,3,7,7,6,1,28
Total GEO,YoY,+200%,+133%,+271%,+200%,+217%,+0%,+207%
WW Website Direct,Actual,892,459,1697,1549,1872,777,7246
WW Website Direct,PY,319,484,636,764,475,139,2817
WW Website Direct,YoY,+180%,-5%,+167%,+103%,+294%,+459%,+157%
Total (GEO+Direct),Actual,904,466,1723,1570,1891,778,7332
Total (GEO+Direct),PY,323,487,643,771,481,140,2845
Total (GEO+Direct),YoY,+180%,-4%,+168%,+104%,+293%,+456%,+158%
SSR Total (大盘),Actual,8506,4512,12666,12301,12114,2858,52957
SSR Total (大盘),PY,6161,8302,11283,10895,7765,1697,46103
SSR Total (大盘),YoY,+38%,-46%,+12%,+13%,+56%,+68%,+15%
