Channel,Type,2025_M1_Jan,2025_M2_Feb,2025_M3_Mar,2025_M4_Apr,2025_M5_May,2025_M6_Jun_MTD,2025_Total
CN (GEO),Actual,10.1%,9.2%,11.5%,11.0%,8.0%,0.0%,8.8%
CN (GEO),PY,23.1%,23.1%,16.7%,10.0%,6.9%,2.9%,11.6%
CN (GEO),YoY,-13.0ppts,-13.8ppts,-5.2ppts,+1.0ppts,+1.1ppts,-2.9ppts,-2.9ppts
WW (GEO),Actual,3.6%,2.0%,7.7%,4.3%,5.9%,1.7%,4.6%
WW (GEO),PY,2.6%,0.0%,2.2%,12.5%,9.1%,0.0%,3.9%
WW (GEO),YoY,+1.0ppts,+2.0ppts,+5.5ppts,-8.2ppts,-3.2ppts,+1.7ppts,+0.7ppts
Total GEO,Actual,7.0%,6.0%,10.2%,9.0%,7.2%,0.6%,7.2%
Total GEO,PY,7.8%,4.7%,8.6%,11.3%,8.2%,1.3%,6.8%
Total GEO,YoY,-0.9ppts,+1.3ppts,+1.5ppts,-2.3ppts,-1.0ppts,-0.6ppts,+0.3ppts
WW Website Direct,Actual,18.0%,19.2%,23.3%,21.5%,23.0%,10.4%,19.4%
WW Website Direct,PY,17.7%,15.8%,14.9%,17.9%,11.5%,2.5%,12.2%
WW Website Direct,YoY,+0.2ppts,+3.4ppts,+8.5ppts,+3.6ppts,+11.6ppts,+7.9ppts,+7.1ppts
Total (GEO+Direct),Actual,17.6%,18.6%,22.9%,21.1%,22.5%,10.2%,19.0%
Total (GEO+Direct),PY,17.4%,15.6%,14.8%,17.8%,11.4%,2.5%,12.1%
Total (GEO+Direct),YoY,+0.2ppts,+3.0ppts,+8.1ppts,+3.3ppts,+11.1ppts,+7.7ppts,+6.9ppts
SSR Total (大盘),Actual,22.3%,25.0%,27.3%,26.0%,24.8%,8.3%,22.7%
SSR Total (大盘),PY,19.6%,19.2%,17.9%,19.0%,13.9%,4.6%,16.0%
SSR Total (大盘),YoY,+2.7ppts,+5.7ppts,+9.4ppts,+7.0ppts,+10.9ppts,+3.7ppts,+6.7ppts
