指标,FY25_Dec,M1,M2,M3,M4,M5,M6
提示词#,152,210,297,297,397,564,646
总品牌提及率,75%,82%,85%,87%,85%,86.5%,86.5%
品牌提示词,152,297,297,297,397,465,487
品牌#,608,1188,1188,1188,1588,1860,1948
品牌词品牌提及率,75%,82%,85%,87%,85%,85%,85.2%
品牌词链接提及,220,582,635,719,852,1019,1108
品牌词链接提及率,18.1%,48.99%,53.45%,60.52%,53.65%,54.78%,56.88%
行业提示词,0,0,0,0,0,98,159
行业词#,0,0,0,0,0,686,1113
行业词品牌提及率,0,0,0,0,0,91.8%,91.8%
行业词链接提及率,0,0,0,0,0,7.43%,37.20%
行业词提及#,0,0,0,0,0,51,414
新建内容#,106,98,43,118,123,135,131
旧内容优化#,67,26,12,0,1,0,0
官网链接提及总量,220,745,839,1063,1197,2498,2666
官网链接提及率,18.1%,44.3%,35.3%,44.7%,37.7%,48.3%,51.6%
CN官网链接提及,135,436,496,631,738,1658,1752
CN2NA官网链接提及,85,309,343,432,459,840,914
