Channel,Type,M1 (Jan),M2 (Feb),M3 (Mar),Q1,M4 (Apr),M5 (May),M6 (Jun),Q2,M7 (Jul MTD)
CN (GEO),Actual,89,65,165,319,164,163,152,479,105
CN (GEO),PY,13,13,36,62,30,29,45,104,46
CN (GEO),YoY,+585%,+400%,+358%,+415%,+447%,+462%,+238%,+361%,+128%
WW (GEO),Actual,83,51,91,225,70,101,97,268,63
WW (GEO),PY,38,51,45,134,32,44,57,133,23
WW (GEO),YoY,+118%,+0%,+102%,+68%,+119%,+130%,+70%,+101%,+174%
Total GEO,Actual,172,116,256,544,234,264,249,747,168
Total GEO,PY,51,64,81,196,62,73,102,237,69
Total GEO,YoY,+237%,+81%,+216%,+178%,+277%,+262%,+144%,+215%,+143%
WW Website Direct,Actual,4966,2388,7269,14623,7204,8136,9726,25066,3527
WW Website Direct,PY,1801,3058,4275,9134,4269,4148,7004,15421,2383
WW Website Direct,YoY,+176%,-22%,+70%,+60%,+69%,+96%,+39%,+63%,+48%
CN Website Direct,Actual,4106,1607,4664,10377,5385,4488,7158,17031,4101
CN Website Direct,PY,5687,7254,8537,21478,7998,5650,3869,17517,2770
CN Website Direct,YoY,-28%,-78%,-45%,-52%,-33%,-21%,+85%,-3%,+48%
Direct Channel (CN+WW),Actual,9072,3995,11933,25000,12589,12624,16884,42097,7628
Direct Channel (CN+WW),PY,7488,10312,12812,30612,12267,9798,10873,32938,5153
Direct Channel (CN+WW),YoY,+21%,-61%,-7%,-18%,+3%,+29%,+55%,+28%,+48%
Total (GEO+Direct),Actual,9244,4111,12189,25544,12823,12888,17133,42844,7796
Total (GEO+Direct),PY,7539,10376,12893,30808,12329,9871,10975,33175,5222
Total (GEO+Direct),YoY,+23%,-60%,-5%,-17%,+4%,+31%,+56%,+29%,+49%
SSR Total (大盘),Actual,38062,18087,46315,102464,47286,48846,51466,147598,None
SSR Total (大盘),PY,31422,43176,62864,137462,57299,55848,51900,165047,None
SSR Total (大盘),YoY,+21%,-58%,-26%,-25%,-17%,-13%,-1%,-11%,None
