Week,CN_GEO,CN_GEO_PY,WW_GEO,WW_GEO_PY,Total_GEO,Total_GEO_PY,WW_Direct,WW_Direct_PY,Total,Total_PY
WK1,15,0,11,11,26,11,738,620,764,631
WK2,26,3,24,9,50,12,1293,553,1343,565
WK3,20,6,20,6,40,12,1165,488,1205,500
WK4,14,3,20,10,34,13,1128,308,1162,321
WK5,25,1,15,5,40,6,1152,150,1192,156
WK6,21,0,15,6,36,6,904,475,940,481
WK7,7,5,9,14,16,19,360,706,376,725
WK8,2,4,7,17,9,21,202,942,211,963
WK9,35,5,20,12,55,17,922,1053,977,1070
WK10,36,5,20,12,56,17,1399,1073,1455,1090
WK11,45,9,13,11,58,20,1642,1017,1700,1037
WK12,36,8,22,8,58,16,1752,981,1810,997
WK13,33,11,23,13,56,24,1806,846,1862,870
WK14,35,5,23,9,58,14,1634,739,1692,753
WK15,45,5,17,5,62,10,1581,1033,1643,1043
WK16,40,7,15,8,55,15,1750,1047,1805,1062
WK17,32,12,15,6,47,18,1738,1037,1785,1055
WK18,33,6,17,5,50,11,1330,763,1380,774
WK19,33,4,21,7,54,11,1453,1047,1507,1058
WK20,41,5,31,13,72,18,1914,1066,1986,1084
WK21,44,7,19,13,63,20,2054,986,2117,1006
WK22,38,10,22,11,60,21,2143,904,2203,925
WK23,25,10,24,11,49,21,4060,1099,4109,1120
WK24,41,19,23,21,64,40,2252,1286,2316,1326
WK25,31,5,15,12,46,17,1579,3127,1625,3144
