month,region,platform,brand_queries,link_mentions,link_rate
M1,NA,元宝,297,75,25.3
M1,NA,DeepSeek,297,70,23.6
M1,NA,豆包,297,85,28.6
M1,NA,ChatGPT,297,79,26.6
M2,NA,元宝,297,81,27.3
M2,NA,DeepSeek,297,76,25.6
M2,NA,豆包,297,88,29.6
M2,NA,ChatGPT,297,98,33.0
M3,NA,元宝,297,106,35.7
M3,NA,DeepSeek,297,88,29.6
M3,NA,豆包,297,118,39.7
M3,NA,ChatGPT,297,106,35.7
M4,NA,元宝,397,111,28.0
M4,NA,DeepSeek,397,93,23.4
M4,NA,豆包,397,142,35.8
M4,NA,ChatGPT,397,113,28.5
M5,NA,元宝,465,155,33.3
M5,NA,DeepSeek,465,115,24.7
M5,NA,豆包,465,134,28.8
M5,NA,ChatGPT,465,101,21.7
M5,NA,Kimi,465,114,24.5
M5,NA,千问,465,119,25.6
M5,NA,Gemini,465,53,11.4
