Channel,Type,M1 (Jan),M2 (Feb),M3 (Mar),M4 (Apr),M5 (May),M6 (Jun),M7 (Jul MTD)
CN (GEO),Actual,89,65,165,164,163,152,105
CN (GEO),PY,13,13,36,30,29,45,46
CN (GEO),YoY,+585%,+400%,+358%,+447%,+462%,+238%,+128%
WW (GEO),Actual,83,51,91,70,101,97,63
WW (GEO),PY,38,51,45,32,44,57,23
WW (GEO),YoY,+118%,+0%,+102%,+119%,+130%,+70%,+174%
Total GEO,Actual,172,116,256,234,264,249,168
Total GEO,PY,51,64,81,62,73,102,69
Total GEO,YoY,+237%,+81%,+216%,+277%,+262%,+144%,+143%
WW Website Direct,Actual,4966,2388,7269,7204,8136,9726,3527
WW Website Direct,PY,1801,3058,4275,4269,4148,7004,2383
WW Website Direct,YoY,+176%,-22%,+70%,+69%,+96%,+39%,+48%
CN Website Direct,Actual,4106,1607,4664,5385,4488,7158,4101
CN Website Direct,PY,5687,7254,8537,7998,5650,3869,2770
CN Website Direct,YoY,-28%,-78%,-45%,-33%,-21%,+85%,+48%
Direct Channel (CN+WW),Actual,9072,3995,11933,12589,12624,16884,7628
Direct Channel (CN+WW),PY,7488,10312,12812,12267,9798,10873,5153
Direct Channel (CN+WW),YoY,+21%,-61%,-7%,+3%,+29%,+55%,+48%
Total (GEO+Direct),Actual,9244,4111,12189,12823,12888,17133,7796
Total (GEO+Direct),PY,7539,10376,12893,12329,9871,10975,5222
Total (GEO+Direct),YoY,+23%,-60%,-5%,+4%,+31%,+56%,+49%
