Week,CN_GEO,CN_GEO_PY,WW_GEO,WW_GEO_PY,Total_GEO,Total_GEO_PY,WW_Direct,WW_Direct_PY,CN_Direct,CN_Direct_PY,Direct_Total,Direct_Total_PY,Total,Total_PY
WK1,15,0,11,11,26,11,738,620,,,738,620,764,631
WK2,26,3,24,9,50,12,1293,553,,,1293,553,1343,565
WK3,20,6,20,6,40,12,1165,488,,,1165,488,1205,500
WK4,14,3,20,10,34,13,1128,308,,,1128,308,1162,321
WK5,25,1,15,5,40,6,1152,150,,,1152,150,1192,156
WK6,21,0,15,6,36,6,904,475,,,904,475,940,481
WK7,7,5,9,14,16,19,360,706,,,360,706,376,725
WK8,2,4,7,17,9,21,202,942,,,202,942,211,963
WK9,35,5,20,12,55,17,922,1053,,,922,1053,977,1070
WK10,36,5,20,12,56,17,1399,1073,,,1399,1073,1455,1090
WK11,45,9,13,11,58,20,1642,1017,,,1642,1017,1700,1037
WK12,36,8,22,8,58,16,1752,981,,,1752,981,1810,997
WK13,33,11,23,13,56,24,1806,846,,,1806,846,1862,870
WK14,35,5,23,9,58,14,1634,739,,,1634,739,1692,753
WK15,45,5,17,5,62,10,1581,1033,1082,1629,2663,2662,2725,2672
WK16,40,7,15,8,55,15,1750,1047,1327,1908,3077,2955,3132,2970
WK17,32,12,15,6,47,18,1738,1037,3128,4494,4866,5531,4913,5549
WK18,33,6,17,5,50,11,1330,763,2120,2918,3450,3681,3500,3692
WK19,33,4,21,7,54,11,1453,1047,2072,2906,3525,3953,3579,3964
WK20,41,5,31,13,72,18,1914,1066,2242,2738,4156,3804,4228,3822
WK21,44,7,19,13,63,20,2054,986,1929,2866,3983,3852,4046,3872
WK22,38,10,22,11,60,21,2143,904,2271,2424,4414,3328,4474,3349
WK23,25,10,24,11,49,21,4060,1099,2904,2326,6964,3425,7013,3446
WK24,41,19,23,21,64,40,2252,1286,3140,2110,5392,3396,5456,3436
WK25,31,5,15,12,46,17,1579,3127,1538,574,3117,3701,3163,3718
WK26,38,9,30,9,68,18,1619,1270,1938,868,3557,2138,3625,2156
WK27,41,18,22,12,63,30,1537,894,1874,1005,3411,1899,3474,1929
WK28,41,10,22,8,63,18,1219,848,1637,929,2856,1777,2919,1795
WK29,41,20,28,7,69,27,1400,863,1272,1045,2672,1908,2741,1935
